2026-03-02 17:10:42,876 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-03-02 17:10:42,876 | INFO | [INICIO]: Backup de Flujo NiFi
2026-03-02 17:10:43,190 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
2026-03-02 17:10:43,190 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

2026-03-02 17:10:43,190 | WARNING | El backup falló. Intentando continuar con el último backup local...
2026-03-02 17:10:43,191 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-03-02 17:10:43,195 | CRITICAL | No se pudo identificar un archivo de backup válido.
2026-03-02 17:10:43,232 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
2026-03-02 17:10:43,232 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

2026-03-02 17:10:43,233 | WARNING | El backup falló. Intentando continuar con el último backup local...
2026-03-02 17:10:43,233 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-03-02 17:10:43,234 | CRITICAL | No se pudo identificar un archivo de backup válido.
2026-03-02 17:10:48,864 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-03-02 17:10:48,864 | INFO | [INICIO]: Backup de Flujo NiFi
2026-03-02 17:10:49,197 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
2026-03-02 17:10:49,198 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

2026-03-02 17:10:49,199 | WARNING | El backup falló. Intentando continuar con el último backup local...
2026-03-02 17:10:49,199 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-03-02 17:10:49,200 | CRITICAL | No se pudo identificar un archivo de backup válido.
2026-03-02 17:11:39,923 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-03-02 17:11:39,923 | INFO | [INICIO]: Backup de Flujo NiFi
2026-03-02 17:11:40,093 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
2026-03-02 17:11:40,093 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

2026-03-02 17:11:40,093 | WARNING | El backup falló. Intentando continuar con el último backup local...
2026-03-02 17:11:40,093 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-03-02 17:11:40,093 | CRITICAL | No se pudo identificar un archivo de backup válido.
2026-03-02 17:12:06,987 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-03-02 17:12:06,987 | INFO | [INICIO]: Backup de Flujo NiFi
2026-03-02 17:12:07,290 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
2026-03-02 17:12:07,290 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

2026-03-02 17:12:07,292 | WARNING | El backup falló. Intentando continuar con el último backup local...
2026-03-02 17:12:07,292 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-03-02 17:12:07,293 | CRITICAL | No se pudo identificar un archivo de backup válido.
2026-03-02 17:12:24,846 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-03-02 17:12:24,846 | INFO | [INICIO]: Backup de Flujo NiFi
2026-03-02 17:12:25,165 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
